Time	Sim Time	ID	Voltage	Bat Temp[C]	HeatSink Temp[C]	Status	SOC	Current
09Nov21 15:14:22	 0.00hr	0009	28.815	029	025	0000	099	-1.250
09Nov21 15:14:22	 0.00hr	0008	28.815	030	027	0000	099	-2.225
09Nov21 15:14:25	 0.00hr	0009	28.833	029	025	0000	099	+0.060
09Nov21 15:14:25	 0.00hr	0008	28.852	030	027	0000	099	+0.820
09Nov21 15:14:28	 0.00hr	0009	28.833	028	025	0000	099	+0.714
09Nov21 15:14:28	 0.00hr	0008	28.888	030	027	0000	099	+1.405
09Nov21 15:14:30	 0.00hr	0009	28.833	028	025	0000	099	+0.714
09Nov21 15:14:30	 0.00hr	0008	28.888	030	027	0000	099	+1.464
09Nov21 15:14:33	 0.00hr	0009	28.833	028	025	0000	099	+0.714
09Nov21 15:14:33	 0.00hr	0008	28.870	030	027	0000	099	+1.405
09Nov21 15:14:36	 0.00hr	0009	28.833	028	025	0000	099	+0.774
09Nov21 15:14:36	 0.00hr	0008	28.888	030	027	0000	099	+1.347
09Nov21 15:14:39	 0.00hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:14:39	 0.00hr	0008	28.870	030	027	0000	099	+1.405
09Nov21 15:14:41	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:14:41	 0.01hr	0008	28.870	030	027	0000	100	+1.464
09Nov21 15:14:44	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:14:44	 0.01hr	0008	28.888	030	027	0000	100	+1.347
09Nov21 15:14:47	 0.01hr	0009	28.833	028	025	0000	099	+0.714
09Nov21 15:14:47	 0.01hr	0008	28.870	030	027	0001	100	+1.347
09Nov21 15:14:50	 0.01hr	0009	28.833	028	025	0000	099	+0.714
09Nov21 15:14:50	 0.01hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:14:52	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:14:52	 0.01hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:14:55	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:14:55	 0.01hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:14:58	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:14:58	 0.01hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:15:01	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:01	 0.01hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:15:03	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:03	 0.01hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:15:06	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:06	 0.01hr	0008	28.888	030	027	0001	100	+1.405
09Nov21 15:15:09	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:09	 0.01hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:15:12	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:12	 0.01hr	0008	28.870	030	027	0001	100	+1.347
09Nov21 15:15:14	 0.01hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:14	 0.01hr	0008	28.870	030	027	0001	100	+1.347
09Nov21 15:15:17	 0.02hr	0009	28.833	028	025	0000	099	+0.595
09Nov21 15:15:17	 0.02hr	0008	28.870	030	027	0001	100	+1.347
09Nov21 15:15:20	 0.02hr	0009	28.833	028	025	0000	099	+0.595
09Nov21 15:15:20	 0.02hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:15:23	 0.02hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:23	 0.02hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:15:25	 0.02hr	0009	28.833	028	025	0000	099	+0.595
09Nov21 15:15:25	 0.02hr	0008	28.870	030	027	0001	100	+1.522
09Nov21 15:15:28	 0.02hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:28	 0.02hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:15:31	 0.02hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:31	 0.02hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:15:34	 0.02hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:34	 0.02hr	0008	28.870	030	027	0001	100	+1.522
09Nov21 15:15:36	 0.02hr	0009	28.851	028	025	0000	099	+0.714
09Nov21 15:15:36	 0.02hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:15:39	 0.02hr	0009	28.851	028	025	0000	099	+0.714
09Nov21 15:15:39	 0.02hr	0008	28.888	030	027	0001	100	+1.464
09Nov21 15:15:42	 0.02hr	0009	28.833	028	025	0000	099	+0.714
09Nov21 15:15:42	 0.02hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:15:45	 0.02hr	0009	28.833	028	025	0000	099	+0.714
09Nov21 15:15:45	 0.02hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:15:47	 0.02hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:47	 0.02hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:15:50	 0.02hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:50	 0.02hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:15:53	 0.03hr	0009	28.851	028	025	0000	099	+0.655
09Nov21 15:15:53	 0.03hr	0008	28.888	030	027	0001	100	+1.464
09Nov21 15:15:56	 0.03hr	0009	28.851	028	025	0000	099	+0.714
09Nov21 15:15:56	 0.03hr	0008	28.888	030	027	0001	100	+1.464
09Nov21 15:15:58	 0.03hr	0009	28.833	028	025	0000	099	+0.655
09Nov21 15:15:58	 0.03hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:16:01	 0.03hr	0009	28.851	028	025	0000	099	+0.714
09Nov21 15:16:01	 0.03hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:16:04	 0.03hr	0009	28.833	028	025	0000	099	+0.714
09Nov21 15:16:04	 0.03hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:16:07	 0.03hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:07	 0.03hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:16:09	 0.03hr	0009	28.833	028	025	0000	100	+0.655
09Nov21 15:16:09	 0.03hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:16:12	 0.03hr	0009	28.851	028	025	0000	100	+0.655
09Nov21 15:16:12	 0.03hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:16:15	 0.03hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:16:15	 0.03hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:16:18	 0.03hr	0009	28.833	028	025	0000	100	+0.655
09Nov21 15:16:18	 0.03hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:16:20	 0.03hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:16:20	 0.03hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:16:23	 0.03hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:16:23	 0.03hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:16:26	 0.03hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:26	 0.03hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:16:28	 0.04hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:16:28	 0.04hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:16:31	 0.04hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:31	 0.04hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:16:34	 0.04hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:34	 0.04hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:16:37	 0.04hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:37	 0.04hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:16:39	 0.04hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:16:39	 0.04hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:16:42	 0.04hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:42	 0.04hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:16:45	 0.04hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:45	 0.04hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:16:48	 0.04hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:48	 0.04hr	0008	28.888	029	027	0001	100	+1.347
09Nov21 15:16:50	 0.04hr	0009	28.833	028	025	0000	100	+0.655
09Nov21 15:16:50	 0.04hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:16:53	 0.04hr	0009	28.851	028	025	0000	100	+0.655
09Nov21 15:16:53	 0.04hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:16:56	 0.04hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:56	 0.04hr	0008	28.888	029	027	0001	100	+1.522
09Nov21 15:16:59	 0.04hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:16:59	 0.04hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:17:01	 0.04hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:01	 0.04hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:17:04	 0.05hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:04	 0.05hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:17:07	 0.05hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:17:07	 0.05hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:17:10	 0.05hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:17:10	 0.05hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:17:12	 0.05hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:17:12	 0.05hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:17:15	 0.05hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:15	 0.05hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:17:18	 0.05hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:18	 0.05hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:17:20	 0.05hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:20	 0.05hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:17:23	 0.05hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:23	 0.05hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:17:26	 0.05hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:17:26	 0.05hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:17:29	 0.05hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:29	 0.05hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:17:31	 0.05hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:17:31	 0.05hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:17:34	 0.05hr	0009	28.833	028	025	0000	100	+0.655
09Nov21 15:17:34	 0.05hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:17:37	 0.05hr	0009	28.833	028	025	0000	100	+0.774
09Nov21 15:17:37	 0.05hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:17:40	 0.05hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:17:40	 0.05hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:17:42	 0.06hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:42	 0.06hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:17:45	 0.06hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:17:45	 0.06hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:17:48	 0.06hr	0009	28.833	028	025	0000	100	+0.774
09Nov21 15:17:48	 0.06hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:17:51	 0.06hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:51	 0.06hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:17:53	 0.06hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:53	 0.06hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:17:56	 0.06hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:17:56	 0.06hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:17:59	 0.06hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:17:59	 0.06hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:18:02	 0.06hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:02	 0.06hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:18:04	 0.06hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:04	 0.06hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:18:07	 0.06hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:18:07	 0.06hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:18:10	 0.06hr	0009	28.833	028	025	0000	100	+0.774
09Nov21 15:18:10	 0.06hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:18:12	 0.06hr	0009	28.851	028	025	0000	100	+0.655
09Nov21 15:18:12	 0.06hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:18:15	 0.06hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:15	 0.06hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:18:18	 0.07hr	0009	28.851	028	025	0000	100	+0.655
09Nov21 15:18:18	 0.07hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:18:21	 0.07hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:21	 0.07hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:18:23	 0.07hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:23	 0.07hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:18:26	 0.07hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:26	 0.07hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:18:29	 0.07hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:29	 0.07hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:18:32	 0.07hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:18:32	 0.07hr	0008	28.888	030	027	0001	100	+1.405
09Nov21 15:18:34	 0.07hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:34	 0.07hr	0008	28.888	030	027	0001	100	+1.464
09Nov21 15:18:37	 0.07hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:37	 0.07hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:18:40	 0.07hr	0009	28.851	028	025	0000	100	+0.655
09Nov21 15:18:40	 0.07hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:18:43	 0.07hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:18:43	 0.07hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:18:45	 0.07hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:45	 0.07hr	0008	28.870	029	027	0001	100	+1.405
09Nov21 15:18:48	 0.07hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:48	 0.07hr	0008	28.870	029	027	0001	100	+1.464
09Nov21 15:18:51	 0.07hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:51	 0.07hr	0008	28.888	029	027	0001	100	+1.464
09Nov21 15:18:54	 0.08hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:54	 0.08hr	0008	28.888	030	027	0001	100	+1.464
09Nov21 15:18:56	 0.08hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:56	 0.08hr	0008	28.888	030	027	0001	100	+1.464
09Nov21 15:18:59	 0.08hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:18:59	 0.08hr	0008	28.888	030	027	0001	100	+1.464
09Nov21 15:19:02	 0.08hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:19:02	 0.08hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:19:05	 0.08hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:19:05	 0.08hr	0008	28.888	030	027	0001	100	+1.405
09Nov21 15:19:07	 0.08hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:19:07	 0.08hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:19:10	 0.08hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:19:10	 0.08hr	0008	28.888	029	027	0001	100	+1.405
09Nov21 15:19:13	 0.08hr	0009	28.851	028	025	0000	100	+0.714
09Nov21 15:19:13	 0.08hr	0008	28.888	030	027	0001	100	+1.464
09Nov21 15:19:16	 0.08hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:19:16	 0.08hr	ADC: I 1.405 BT 29 B 28.870 L 28.870 H 0008	28.888	030	027	0001	100	+1.464
09Nov21 15:19:18	 0.08hr	0009	28.833	028	025	0000	100	+0.714
09Nov21 15:19:18	 0.08hr	0008	28.870	030	027	0001	100	+1.464
09Nov21 15:19:21	 0.08hr	0009	28.833	028	025	0000	100	+0.774
09Nov21 15:19:21	 0.08hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:19:24	 0.08hr	0009	28.833	028	025	0000	100	+0.774
09Nov21 15:19:24	 0.08hr	ADC: I 1.400008	28.888	030	027	0001	100	+1.464
09Nov21 15:19:27	 0.08hr	0009	28.833	028	025	0000	100	+0.774
09Nov21 15:19:27	 0.08hr	0008	28.870	030	027	0001	100	+1.405
09Nov21 15:19:29	 0.09hr	0009	28.851	027	025	0000	100	+0.714
09Nov21 15:19:29	 0.09hr	0008	28.888	030	027	0001	100	+1.405
09Nov21 15:19:32	 0.09hr	0009	28.851	028	025	0000	100	+0.774
09Nov21 15:19:32	 0.09hr	0008	28.888	030	027	0001	100	+1.464
09Nov21 15:19:35	 0.09hr	0009	28.851	027	025	0000	100	+0.714
09Nov21 15:19:35	 0.09hr	0008	28.870	030	027	0001	100	+1.171
09Nov21 15:19:38	 0.09hr	0009	28.851	027	025	0000	100	+0.774
