Time	Sim Time	Solar Alt	Panel Eff	Port	Voltage	Current
09Nov21 15:06:22	 0.00hr	24.96	96.46	com23	30.22	 5.71
09Nov21 15:06:22	 0.00hr	24.96	96.46	com24	39.99	 0.00
09Nov21 15:06:22	 0.00hr	24.96	96.46	com25	40.00	 0.00
09Nov21 15:06:22	 0.00hr	24.96	96.46	com26	40.01	 0.00
09Nov21 15:06:22	 0.00hr	24.96	96.46	com27	40.01	 0.00
09Nov21 15:06:22	 0.00hr	24.96	96.46	com28	40.01	 0.00
09Nov21 15:06:25	 0.00hr	24.95	96.46	com23	30.22	 5.71
09Nov21 15:06:25	 0.00hr	24.95	96.46	com24	39.99	 0.00
09Nov21 15:06:25	 0.00hr	24.95	96.46	com25	40.00	 0.00
09Nov21 15:06:25	 0.00hr	24.95	96.46	com26	40.01	 0.00
09Nov21 15:06:25	 0.00hr	24.95	96.46	com27	40.01	 0.00
09Nov21 15:06:25	 0.00hr	24.95	96.46	com28	40.01	 0.00
09Nov21 15:06:28	 0.00hr	24.95	96.47	com23	30.22	 5.71
09Nov21 15:06:28	 0.00hr	24.95	96.47	com24	39.99	 0.00
09Nov21 15:06:28	 0.00hr	24.95	96.47	com25	40.00	 0.00
09Nov21 15:06:28	 0.00hr	24.95	96.47	com26	40.01	 0.00
09Nov21 15:06:28	 0.00hr	24.95	96.47	com27	40.00	 0.00
09Nov21 15:06:28	 0.00hr	24.95	96.47	com28	40.01	 0.00
09Nov21 15:06:31	 0.00hr	24.94	96.47	com23	30.22	 5.71
09Nov21 15:06:31	 0.00hr	24.94	96.47	com24	40.00	 0.00
09Nov21 15:06:31	 0.00hr	24.94	96.47	com25	40.00	 0.00
09Nov21 15:06:31	 0.00hr	24.94	96.47	com26	40.01	 0.00
09Nov21 15:06:31	 0.00hr	24.94	96.47	com27	40.00	 0.00
09Nov21 15:06:31	 0.00hr	24.94	96.47	com28	40.01	 0.00
09Nov21 15:06:33	 0.00hr	24.93	96.47	com23	30.22	 5.71
09Nov21 15:06:33	 0.00hr	24.93	96.47	com24	39.99	 0.00
09Nov21 15:06:33	 0.00hr	24.93	96.47	com25	40.00	 0.00
09Nov21 15:06:33	 0.00hr	24.93	96.47	com26	40.01	 0.00
09Nov21 15:06:33	 0.00hr	24.93	96.47	com27	40.00	 0.00
09Nov21 15:06:33	 0.00hr	24.93	96.47	com28	40.01	 0.00
09Nov21 15:06:36	 0.00hr	24.92	96.47	com23	30.22	 5.71
09Nov21 15:06:36	 0.00hr	24.92	96.47	com24	39.99	 0.00
09Nov21 15:06:36	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 15:06:36	 0.00hr	24.92	96.47	com26	40.01	 0.00
09Nov21 15:06:36	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 15:06:36	 0.00hr	24.92	96.47	com28	40.01	 0.00
09Nov21 15:06:39	 0.00hr	24.92	96.47	com23	30.22	 5.71
09Nov21 15:06:39	 0.00hr	24.92	96.47	com24	39.99	 0.00
09Nov21 15:06:39	 0.00hr	24.92	96.47	com25	40.00	 0.00
09Nov21 15:06:39	 0.00hr	24.92	96.47	com26	40.01	 0.00
09Nov21 15:06:39	 0.00hr	24.92	96.47	com27	40.00	 0.00
09Nov21 15:06:39	 0.00hr	24.92	96.47	com28	40.01	 0.00
09Nov21 15:06:42	 0.01hr	24.91	96.47	com23	30.22	 5.71
09Nov21 15:06:42	 0.01hr	24.91	96.47	com24	40.00	 0.00
09Nov21 15:06:42	 0.01hr	24.91	96.47	com25	40.00	 0.00
09Nov21 15:06:42	 0.01hr	24.91	96.47	com26	40.01	 0.00
09Nov21 15:06:42	 0.01hr	24.91	96.47	com27	40.00	 0.00
09Nov21 15:06:42	 0.01hr	24.91	96.47	com28	40.01	 0.00
09Nov21 15:06:44	 0.01hr	24.90	96.47	com23	30.22	 5.71
09Nov21 15:06:44	 0.01hr	24.90	96.47	com24	40.00	 0.00
09Nov21 15:06:44	 0.01hr	24.90	96.47	com25	40.00	 0.00
09Nov21 15:06:44	 0.01hr	24.90	96.47	com26	40.01	 0.00
09Nov21 15:06:44	 0.01hr	24.90	96.47	com27	40.00	 0.00
09Nov21 15:06:44	 0.01hr	24.90	96.47	com28	40.01	 0.00
09Nov21 15:06:47	 0.01hr	24.89	96.47	com23	30.22	 5.71
09Nov21 15:06:47	 0.01hr	24.89	96.47	com24	39.99	 0.00
09Nov21 15:06:47	 0.01hr	24.89	96.47	com25	40.00	 0.00
09Nov21 15:06:47	 0.01hr	24.89	96.47	com26	40.01	 0.00
09Nov21 15:06:47	 0.01hr	24.89	96.47	com27	40.00	 0.00
09Nov21 15:06:47	 0.01hr	24.89	96.47	com28	40.01	 0.00
09Nov21 15:06:50	 0.01hr	24.89	96.47	com23	30.22	 5.71
09Nov21 15:06:50	 0.01hr	24.89	96.47	com24	39.99	 0.00
09Nov21 15:06:50	 0.01hr	24.89	96.47	com25	40.00	 0.00
09Nov21 15:06:50	 0.01hr	24.89	96.47	com26	40.01	 0.00
09Nov21 15:06:50	 0.01hr	24.89	96.47	com27	40.00	 0.00
09Nov21 15:06:50	 0.01hr	24.89	96.47	com28	40.01	 0.00
09Nov21 15:06:53	 0.01hr	24.88	96.47	com23	30.22	 5.71
09Nov21 15:06:53	 0.01hr	24.88	96.47	com24	39.99	 0.00
09Nov21 15:06:53	 0.01hr	24.88	96.47	com25	40.00	 0.00
09Nov21 15:06:53	 0.01hr	24.88	96.47	com26	40.01	 0.00
09Nov21 15:06:53	 0.01hr	24.88	96.47	com27	40.00	 0.00
09Nov21 15:06:53	 0.01hr	24.88	96.47	com28	40.01	 0.00
09Nov21 15:06:55	 0.01hr	24.87	96.47	com23	30.22	 5.71
